Author,,Subject,Series,Title,Relation,Creation Date,Modification Date,Edition,Uniform title,Medium Type,Open Access,Language,Availability,Language of cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability (Network),MMS ID,,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork
"Book - Physical;   Brockopp, Dorothy Young, (Burlington, Massachusetts : Jones & Bartlett Learning, [2020])",,Nursing--Research.   Nursing--Research--Methodology. ,,"Establishing a research-friendly environment : a hospital-based approach / Dorothy Y. Brockopp, Karen S. Hill, Andrew A. Bugajski, Alexander J. Lengerich.",,9/16/19 8:41,9/16/19 8:41,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; RT81.5 .B76 2020  (1 copy, 0 available)
",English,9781284141573  and others,(OCoLC)1045084979;(OCoLC)on1045084979,9781284141573  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Rhodes, Matthew (New York, NY : Oxford University Press, [2020])",,Study skills.   Learning.   Learning--Social aspects.  and others,,"A guide to effective studying and learning : practical strategies from the science of learning / Matthew G. Rhodes, Anne M. Cleary, and Edward L. DeLosh.",,9/16/19 8:41,9/16/19 8:41,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; LB2395 .R54 2020  (1 copy, 0 available)
",English,9780190214470  and others,(OCoLC)1075530432;(OCoLC)on1075530432,9780190214470  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Ruecker, Todd Christopher, (London ; Routledge, 2020.)",,Education--Research--Methodology.   Qualitative research. ,,"Navigating challenges in qualitative educational research : research, interrupted / edited by Todd Ruecker and Vanessa Svilha.",,9/16/19 8:41,9/16/19 8:41,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; LB1028 .N3365 2020  (1 copy, 0 available)
",English,9780367173623  and others,(OCoLC)1100446452;(OCoLC)on1100446452,9780367173623  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Tindall-Ford, Sharon. (Abingdon, Oxon ; Routledge, 2020.)",,"Learning, Psychology of.   Cognitive learning.   Educational psychology. ",Local/global issues in education.,"Advances in cognitive load theory : rethinking teaching / edited by Sharon Tindall-Ford, Shirley Agostinho and John Sweller.",,9/16/19 8:41,9/16/19 8:41,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; LB1060 .A29 2020  (1 copy, 0 available)
",English,9780367246884  and others,(OCoLC)1083689681;(OCoLC)on1083689681,9780367246884  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Stevens, Tara, (New York, NY : Routledge, Taylor & Francis Group, 2020.)",,"Learning, Psychology of.   Cognition--Effect of exercise on.   Learning--Physiological aspects.  and others",Ed psych insights.,Physical activity and student learning / Tara Stevens.,,9/16/19 8:41,9/16/19 8:41,,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; LB1060 .S843 2020  (1 copy, 0 available)
",English,9781138348738  and others,(OCoLC)1086013474;(OCoLC)on1086013474,9781138348738  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Morrell, Ernest (New York, New York ; Routledge, 2020.)",,Educational technology.   Literacy--Study and teaching.   Educational equalization.  and others,,Stories from inequity to justice in literacy education : confronting digital divides / edited by Ernest Morrell and Jennifer Rowsell.,,7/16/19 16:51,9/16/19 4:18,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-63266-5  and others,(CKB)4100000008701087;(MiAaPQ)EBC5813632,9780429632662  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Robson, Andrew (New York, New York ; Routledge, 2020.)",,Jazz--Australia--History and criticism.   Jazz musicians--Australia.   Electronic books. ,,Austral jazz : the localization of a global music form in Sydney / Andrew Robson.,,7/13/19 18:45,9/16/19 4:18,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-85021-2  and others,(CKB)4100000008524692;(MiAaPQ)EBC5802480,9780429850219  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Iftiqar, (Boca Raton, Florida ; CRC Press, [2020])",,Cancer--Treatment--Economic aspects.   Electronic books. ,Chapman & Hall/CRC biostatistics series.,"Economic evaluation of cancer drugs : using clinical trial and real-world data / Iftekhar Khan, Ralph Crott, and Zahid Bashir.",,7/6/19 13:15,9/16/19 4:18,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-15582-4  and others,(CKB)4100000008483415;(MiAaPQ)EBC5789288,9780429155826  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
Book - Electronic;  (Springer),,,,A Practical Guide to Design for Additive Manufacturing,,8/10/19 13:08,9/16/19 4:18,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",,9789811382819  and others,(CKB)4100000008876885,9789811382819  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Weir, Lucy, (Wilmington, Delaware ; Vernon Press, [2020])",,Environmental responsibility.   Electronic books. ,Series on climate change and society,Love is green : compassion as responsibility in the ecological emergency / Lucy Weir.,,8/3/19 13:01,9/16/19 4:18,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,1-62273-806-3  and others,(CKB)4100000008769301;(MiAaPQ)EBC5831554,9781622738069  and others,,,,9.93E+15,,0,,,0,9.93E+15,,
"Book - Electronic;   online resource By Hemphill, Jim, (London ; Routledge, 2020.)",,Television series--Production and direction.   Television--Production and direction.   Television producers and directors--United States--Interviews.  and others,,The art and craft of TV directing : conversations with episodic television directors / Jim Hemphill.,,8/3/19 13:01,9/16/19 4:18,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-62106-X  and others,(CKB)4100000008737032;(MiAaPQ)EBC5831716,9780429621062  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Electronic;   online resource By Donohue, Chip, (New York ; Routledge, Taylor & Francis Group, 2020.)",,Early childhood education--Computer-assisted instruction.   Educational technology.   Electronic books. ,,Exploring key issues in early childhood and technology : evolving perspectives and innovative approaches / edited by Chip Donohue.,,7/16/19 16:51,9/16/19 4:18,,,,,English,"Availability:Electronic version at Ebook Central Perpetual and DDA Titles: Full Text  
",English,0-429-85468-4  and others,(CKB)4100000008693813;(MiAaPQ)EBC5813402,9780429854682  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;   Yarbro, Connie Henke, (Burlington, Massachusetts : Jones & Bartlett Learning, [2020])",,Cancer--Nursing--Examinations--Study guides. ,,"Oncology nursing review / Connie Henke Yarbro, MS, RN, FAAN (Editor: Seminars in Oncology Nursing, Oncology Nursing Consultant, Destin, Florida, Adjunct Courtesy Faculty, Sinclair School of Nursing, University of Missouri, Columbus, Columbia, Missouri), Debra Wujcik, PhD, RN, AOCN, FAAN (Director of Research, Carevive Systems, Inc, Franklin, Tennessee), Barbara Holmes Gobel, MS, RN, AOCN, FAAN (Associate Chief Nurse Executive, Director of Professional Practice and Devlopment, Magnet Program Director, Northwestern Memorial Hospital, Chicago, Illinois, Adjunct Faculty, Rush University College of Nursing, Rush University Medical Center, Chicago, Illinois).",,9/16/19 8:12,9/16/19 8:12,Sixth edition.,,,,English,"Availability:Physical version at NULS: CIRCSTACKS; RC266 .Y366 2020  (1 copy, 0 available)
",English,9781284144925  and others,(OCoLC)1035228333;(OCoLC)on1035228333,9781284144925  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
"Book - Physical;  still image; unmediated; volume By Abrahams, Peter H., (Edinburgh : Elsevier, [2020])",,Human anatomy--Pictorial works. ,,"Abrahams' and McMinn's clinical atlas of human anatomy / Peter H. Abrahams, Jonathan D. Spratt, Marios Loukas, Albert-Neels van Schoor.",,9/16/19 8:12,9/16/19 8:12,Eighth edition.,McMinn and Abrahams' clinical atlas of human anatomy,,,English,"Availability:Physical version at NULS: CIRCSTACKS; QM23.2 .A27 2020  (1 copy, 0 available)
",English,9780702073328  and others,(OCoLC)1091645429;(OCoLC)on1091645429,9780702073328  and others,,,,9.93E+15,,1,,,0,9.93E+15,,
