LC Class,Author,Title,Call Number,,Relation,Creation Date,Modification Date,Edition,Uniform title,Medium Type,Open Access,Language,Availability,Language of cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability (Network),MMS ID,,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork
(DE-599)ZDB2939669-4;(OCoLC)1078409496;(CKB)4530000000000286;(CONSER)--2018202557,"Journal {Journal - Electronic} text; computer; online resource (Palo Alto, CA  : Annual Reviews)",Annual review of developmental psychology.,2640-7922 ,,,03/02/2019 13:06:07 ,09/04/2019 15:43:06 ,,,,,English,"Availability:Electronic version at Annual Reviews: Full Text  
",,,(DE-599)ZDB2939669-4;(OCoLC)1078409496;(CKB)4530000000000286;(CONSER)--2018202557,,2640-7922 ,,,9925403908101661,,0,,,0,9925403908101661,,
(OCoLC)1103210100;(CKB)4100000008048188;(CONSER)--2019268614,"Journal {Journal - Electronic} text; computer; online resource By Indian Society for Plant Physiology, ([Heidelberg, Germany] : Springer, 2019)",Plant physiology reports.,2662-2548  and others,,,05/04/2019 13:02:20 ,08/25/2019 05:23:06 ,,,,,English,"Availability:Electronic version at SpringerLink Journals - AutoHoldings: Full Text  
",,,(OCoLC)1103210100;(CKB)4100000008048188;(CONSER)--2019268614,,2662-2548  and others,,,9925402566901661,,0,,,0,9925402566901661,,
(OCoLC)1099670708;(CKB)4100000008870770;(CONSER)--2019243066,"Journal {Journal - Electronic} text; computer; online resource By BCS, The Chartered Institute for IT, (London : BMJ Publishing, [2019]-)",BMJ health & care informatics.,2632-1009 ,,,08/10/2019 13:08:00 ,08/25/2019 01:47:28 ,,,,Open Access,English,"Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
",,,(OCoLC)1099670708;(CKB)4100000008870770;(CONSER)--2019243066,,2632-1009 ,,,9925402308001661,,0,Peer Reviewed,,0,9925402308001661,,
(OCoLC)1085672047;(OCoLC)on1085672047,"Journal {Journal - Electronic} text; computer; online resource By University of Kentucky. College of Public Health. ([Lexington, Kentucky] : College of Public Health, University of Kentucky, [2019]-)",Journal of Appalachian health.,2641-7804 ,,,08/16/2019 07:21:52 ,08/17/2019 20:08:26 ,,,,,English,"Availability:Electronic version at Free E- Journals: Full Text  
",English,,(OCoLC)1085672047;(OCoLC)on1085672047,,2641-7804 ,,,9925402006401661,,0,,,0,9925402006401661,,
(OCoLC)1041123649;(CKB)4100000008104072;(CONSER)--2018202184,"Journal {Journal - Electronic} text; computer; online resource By Institute of Materials, Minerals, and Mining. (Abingdon, England  : Taylor & Francis Group, 2019-)",Heat treatment and surface engineering.,2578-7616 ,,,05/04/2019 13:02:20 ,08/22/2019 22:36:42 ,,,,Open Access,English,"Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
",,,(OCoLC)1041123649;(CKB)4100000008104072;(CONSER)--2018202184,,2578-7616 ,,,9925399493801661,,0,,,0,9925399493801661,,
(OCoLC)1030440828;(CKB)4960000000000013;(CONSER)--2018201563,"Journal {Journal - Electronic} text; computer; online resource By Society of Photo-optical Instrumentation Engineers. (Bellingham, WA : SPIE and Chinese Laser Press)",Advanced photonics.,2577-5421 ,,,09/01/2018 10:45:54 ,08/16/2019 06:39:20 ,,,,Open Access,English,"Availability:Electronic version at DOAJ Directory of Open Access Journals: Full Text  
",,,(OCoLC)1030440828;(CKB)4960000000000013;(CONSER)--2018201563,,2577-5421 ,,,9925399473701661,,0,Peer Reviewed,,0,9925399473701661,,
(CKB)4900000000451227,"Journal {Journal - Electronic} text; computer; online resource ([London] : Elsevier Ltd., [2019]-)",EnergyChem.,2589-7780 ,,,04/06/2019 13:00:15 ,08/06/2019 20:42:19 ,,,,,English,"Availability:Electronic version at Elsevier ScienceDirect ArticleChoice (PDFs via email within 24 hours) (Elsevier ScienceDirect Journals): Full Text  
",,,(CKB)4900000000451227,,2589-7780 ,,,9925398908501661,,0,,,0,9925398908501661,,
(OCoLC)1103755751;(CKB)4100000008424090;(CONSER)--2019243054,"Journal {Journal - Electronic} text; computer; online resource ([Thousand Oaks, CA] : SAGE Publications, [2019]-)",Therapeutic advances in gastrointestinal endoscopy.,2631-7745 ,,,06/27/2019 12:59:22 ,08/19/2019 01:40:53 ,,,,,English,"Availability:Electronic version at PubMed Central: Full Text  
Availability:Electronic version at ProQuest Central (ProQuest Central (New)): Full Text  
",,,(OCoLC)1103755751;(CKB)4100000008424090;(CONSER)--2019243054,,2631-7745 ,,,9925391606001661,,0,Peer Reviewed,,0,9925391606001661,,
,"Journal {Journal - Electronic} text; computer; online resource By Athens Institute for Education and Research Business, Health and Medical Sciences Division (Athens, Greece : published by the Health Sciences Division of ATINER, 2019)",Athens Journal of Health and Medical Sciences,2653-9411 ,,,07/02/2019 07:17:19 ,07/03/2019 22:13:55 ,,,,Open Access,English,"Availability:Electronic version at Free E- Journals: Full Text  
",,,,,2653-9411 ,,,9925391592001661,,0,Peer Reviewed,,0,9925391592001661,,
(OCoLC)1061559672;(CKB)4100000008284119;(CONSER)--2018203851,"Journal {Journal - Electronic} text; computer; online resource (Nashville, TN : American Economic Association)",American economic review. Insights.,2640-2068  and others,,,06/08/2019 13:26:08 ,08/06/2019 20:49:44 ,,American economic review. Insights (Online),,,English,"Availability:Electronic version at American Economic Association: Full Text  
",,,(OCoLC)1061559672;(CKB)4100000008284119;(CONSER)--2018203851,,2640-2068  and others,,,9925391409801661,,0,,,0,9925391409801661,,
